Country;Legal entity;Division;Position title;Link Type;Link Name;Link url;Image
Italy;Malesci Istituto Farmacobiologico - S.P.A.;ETH;;Corporate;SELF SERVICES PASSWORD;https://password.menarini.com/sspr/private/Login;
Italy;Malesci Istituto Farmacobiologico - S.P.A.;ETH;;Corporate;Google 2-Step Verification;https://myaccount.google.com/signinoptions/two-step-verification/enroll-welcome;
Italy;Malesci Istituto Farmacobiologico - S.P.A.;ETH;REP;Local;FONDAZIONE MENARINI;http://www.fondazione-menarini.it;
Italy;Malesci Istituto Farmacobiologico - S.P.A.;ETH;;Local;ALBO MEDICI;http://www.fnomceo.it;
Italy;Malesci Istituto Farmacobiologico - S.P.A.;ETH;;Local;FUEL CARD;http://www.multicard.eni.com/it;
Italy;Malesci Istituto Farmacobiologico - S.P.A.;ETH;REP;Local;WELFARE - FOOD CARD;https://titolari.ticketxte.com/web/beneficiari;
Italy;Malesci Istituto Farmacobiologico - S.P.A.;ETH;;Local;NUOVO PORTALE;https://beneficiari.edenred.it/group/portale-beneficiari;
Italy;Malesci Istituto Farmacobiologico - S.P.A.;ETH;;Local;MENARINI EASY CHECK;https://mec.menarini.net;
Italy;Malesci Istituto Farmacobiologico - S.P.A.;ETH;REP;Local;MALESCI.IT;http://www.malesci.it/;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;;Corporate;SELF SERVICES PASSWORD;https://password.menarini.com/sspr/private/Login;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;;Corporate;Google 2-Step Verification;https://myaccount.google.com/signinoptions/two-step-verification/enroll-welcome;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;;Local;MENARINI EASY CHECK;https://mec.menarini.net;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;;Local;LUSOFARMACO.IT;http://www.lusofarmaco.it;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;AM;Local;FONDAZIONE MENARINI;http://www.fondazione-menarini.it;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;;Local;ALBO MEDICI;http://www.fnomceo.it;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;;Local;FUEL CARD;http://www.multicard.eni.com/it;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;AM;Local;WELFARE - FOOD CARD;https://titolari.ticketxte.com/web/beneficiari;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;;Local;NUOVO PORTALE;https://beneficiari.edenred.it/group/portale-beneficiari;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;;Corporate;SELF SERVICES PASSWORD;https://password.menarini.com/sspr/private/Login;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;;Corporate;Google 2-Step Verification;https://myaccount.google.com/signinoptions/two-step-verification/enroll-welcome;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;;Local;MENARINI EASY CHECK;https://mec.menarini.net;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;;Local;LUSOFARMACO.IT;http://www.lusofarmaco.it;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;REP;Local;FONDAZIONE MENARINI;http://www.fondazione-menarini.it;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;;Local;ALBO MEDICI;http://www.fnomceo.it;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;;Local;FUEL CARD;http://www.multicard.eni.com/it;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;REP;Local;WELFARE - FOOD CARD;https://titolari.ticketxte.com/web/beneficiari;
Italy;Istituto Luso Farmaco D'Italia S.P.A.;ETH;;Local;NUOVO PORTALE;https://beneficiari.edenred.it/group/portale-beneficiari;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;;Corporate;SELF SERVICES PASSWORD;https://password.menarini.com/sspr/private/Login;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;;Corporate;Google 2-Step Verification;https://myaccount.google.com/signinoptions/two-step-verification/enroll-welcome;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;AM;Corporate;M-Privacy;https://mtd.menarini.net/crmweb/login;
